timestamp,availableReplicas,readyReplicas
2025-08-14T21:51:09,863639828+00:00,9,9
2025-08-14T21:51:11,127833065+00:00,9,9
2025-08-14T21:51:12,402999567+00:00,10,10
2025-08-14T21:51:13,695869502+00:00,11,11
2025-08-14T21:51:14,942446936+00:00,11,11
2025-08-14T21:51:16,286183172+00:00,11,11
2025-08-14T21:51:17,632380052+00:00,11,11
2025-08-14T21:51:18,964153320+00:00,11,11
2025-08-14T21:51:20,292190289+00:00,11,11
2025-08-14T21:51:21,654119353+00:00,11,11
2025-08-14T21:51:22,975861696+00:00,11,11
2025-08-14T21:51:24,291329084+00:00,11,11
2025-08-14T21:51:25,620697704+00:00,11,11
2025-08-14T21:51:26,922689501+00:00,11,11
2025-08-14T21:51:28,274338264+00:00,11,11
2025-08-14T21:51:29,639020785+00:00,11,11
2025-08-14T21:51:31,001103097+00:00,11,11
2025-08-14T21:51:32,346163058+00:00,11,11
2025-08-14T21:51:33,723193565+00:00,11,11
2025-08-14T21:51:35,066202696+00:00,11,11
2025-08-14T21:51:36,423759823+00:00,11,11
2025-08-14T21:51:37,793303304+00:00,11,11
2025-08-14T21:51:39,128612316+00:00,11,11
2025-08-14T21:51:40,538092363+00:00,11,11
2025-08-14T21:51:41,893867874+00:00,11,11
2025-08-14T21:51:43,156588759+00:00,11,11
2025-08-14T21:51:44,527939338+00:00,11,11
2025-08-14T21:51:45,863904893+00:00,11,11
2025-08-14T21:51:47,138982022+00:00,11,11
2025-08-14T21:51:48,481514602+00:00,11,11
2025-08-14T21:51:49,934314367+00:00,11,11
2025-08-14T21:51:51,343902784+00:00,11,11
2025-08-14T21:51:52,715485539+00:00,11,11
2025-08-14T21:51:54,000454848+00:00,11,11
2025-08-14T21:51:55,295653575+00:00,11,11
2025-08-14T21:51:56,554874473+00:00,11,11
2025-08-14T21:51:57,839798757+00:00,11,11
2025-08-14T21:51:59,085087984+00:00,11,11
2025-08-14T21:52:00,353583433+00:00,11,11
2025-08-14T21:52:01,614669569+00:00,11,11
2025-08-14T21:52:02,865704649+00:00,11,12
2025-08-14T21:52:04,121173536+00:00,13,13
2025-08-14T21:52:05,370785868+00:00,16,16
2025-08-14T21:52:06,619797767+00:00,17,17
2025-08-14T21:52:07,861868888+00:00,18,18
2025-08-14T21:52:09,132133149+00:00,18,18
2025-08-14T21:52:10,370822704+00:00,19,19
2025-08-14T21:52:11,644954290+00:00,19,19
2025-08-14T21:52:12,862999511+00:00,19,19
2025-08-14T21:52:14,134615282+00:00,19,19
2025-08-14T21:52:15,375475672+00:00,19,19
2025-08-14T21:52:16,632714021+00:00,19,19
2025-08-14T21:52:17,876636198+00:00,19,19
2025-08-14T21:52:19,124551112+00:00,19,19
2025-08-14T21:52:20,404651433+00:00,19,19
2025-08-14T21:52:21,652680496+00:00,19,19
2025-08-14T21:52:22,914797706+00:00,19,19
2025-08-14T21:52:24,145124180+00:00,19,19
2025-08-14T21:52:25,410608378+00:00,19,19
2025-08-14T21:52:26,687919699+00:00,19,19
2025-08-14T21:52:27,935920404+00:00,19,19
2025-08-14T21:52:29,180074062+00:00,19,19
2025-08-14T21:52:30,451426929+00:00,19,19
2025-08-14T21:52:31,717611224+00:00,19,19
2025-08-14T21:52:32,961495073+00:00,19,19
2025-08-14T21:52:34,235441335+00:00,19,19
2025-08-14T21:52:35,492443956+00:00,19,19
2025-08-14T21:52:36,761068368+00:00,19,19
