timestamp,availableReplicas,readyReplicas
2025-08-14T20:35:19,824486097+00:00,2,2
2025-08-14T20:35:21,068858249+00:00,2,2
2025-08-14T20:35:22,310475356+00:00,2,2
2025-08-14T20:35:23,558374664+00:00,2,2
2025-08-14T20:35:24,818435376+00:00,2,2
2025-08-14T20:35:26,048887502+00:00,2,2
2025-08-14T20:35:27,322970666+00:00,2,2
2025-08-14T20:35:28,570707350+00:00,2,2
2025-08-14T20:35:29,825901981+00:00,2,2
2025-08-14T20:35:31,072745455+00:00,2,2
2025-08-14T20:35:32,286041422+00:00,2,2
2025-08-14T20:35:33,519822751+00:00,2,2
2025-08-14T20:35:34,777802616+00:00,2,2
2025-08-14T20:35:36,004635116+00:00,2,2
2025-08-14T20:35:37,230564029+00:00,2,2
2025-08-14T20:35:38,491202574+00:00,2,2
2025-08-14T20:35:39,756942359+00:00,2,2
2025-08-14T20:35:41,017840621+00:00,2,2
2025-08-14T20:35:42,245184929+00:00,2,2
2025-08-14T20:35:43,509155927+00:00,2,2
2025-08-14T20:35:44,755534473+00:00,2,2
2025-08-14T20:35:45,992194802+00:00,2,2
2025-08-14T20:35:47,261997005+00:00,2,2
2025-08-14T20:35:48,500710950+00:00,2,2
2025-08-14T20:35:49,734515922+00:00,2,2
2025-08-14T20:35:50,990679061+00:00,2,2
2025-08-14T20:35:52,221801487+00:00,2,2
2025-08-14T20:35:53,434898891+00:00,2,2
2025-08-14T20:35:54,686353915+00:00,2,2
2025-08-14T20:35:55,937896770+00:00,2,2
2025-08-14T20:35:57,152508404+00:00,2,2
2025-08-14T20:35:58,382675087+00:00,2,2
2025-08-14T20:35:59,614503789+00:00,2,2
2025-08-14T20:36:00,851778200+00:00,2,2
2025-08-14T20:36:02,121160044+00:00,2,2
2025-08-14T20:36:03,362374238+00:00,2,2
2025-08-14T20:36:04,581357647+00:00,2,2
2025-08-14T20:36:05,822968854+00:00,2,2
2025-08-14T20:36:07,058758093+00:00,2,2
2025-08-14T20:36:08,306597755+00:00,2,2
2025-08-14T20:36:09,569165282+00:00,2,2
2025-08-14T20:36:10,822767065+00:00,2,2
2025-08-14T20:36:12,053359129+00:00,2,2
2025-08-14T20:36:13,322873708+00:00,2,2
2025-08-14T20:36:14,578163260+00:00,2,2
2025-08-14T20:36:15,836682124+00:00,2,2
2025-08-14T20:36:17,063344387+00:00,2,2
2025-08-14T20:36:18,337677023+00:00,2,2
2025-08-14T20:36:19,593948808+00:00,2,2
2025-08-14T20:36:20,845132702+00:00,2,2
2025-08-14T20:36:22,064390633+00:00,2,2
2025-08-14T20:36:23,309488495+00:00,2,2
2025-08-14T20:36:24,565374918+00:00,2,2
2025-08-14T20:36:25,810599129+00:00,2,2
2025-08-14T20:36:27,066334094+00:00,2,2
2025-08-14T20:36:28,307179198+00:00,2,2
2025-08-14T20:36:29,552573789+00:00,2,2
2025-08-14T20:36:30,798804584+00:00,2,2
2025-08-14T20:36:32,034029759+00:00,2,2
2025-08-14T20:36:33,244645823+00:00,2,2
2025-08-14T20:36:34,493847991+00:00,2,2
2025-08-14T20:36:35,738958518+00:00,2,2
2025-08-14T20:36:37,016530681+00:00,2,2
2025-08-14T20:36:38,236454571+00:00,2,2
2025-08-14T20:36:39,499313109+00:00,2,2
2025-08-14T20:36:40,758276077+00:00,2,2
2025-08-14T20:36:42,011842585+00:00,2,2
2025-08-14T20:36:43,229665080+00:00,2,2
