timestamp,availableReplicas,readyReplicas
2025-08-14T20:48:12,363026305+00:00,6,6
2025-08-14T20:48:14,145516712+00:00,9,10
2025-08-14T20:48:16,738367198+00:00,11,11
2025-08-14T20:48:18,127633450+00:00,11,11
2025-08-14T20:48:19,525455014+00:00,11,11
2025-08-14T20:48:20,882110061+00:00,11,11
2025-08-14T20:48:22,259578064+00:00,11,11
2025-08-14T20:48:23,628591105+00:00,11,11
2025-08-14T20:48:25,315931029+00:00,11,11
2025-08-14T20:48:26,665053668+00:00,11,11
2025-08-14T20:48:28,221429119+00:00,11,11
2025-08-14T20:48:29,638264045+00:00,11,11
2025-08-14T20:48:31,028078886+00:00,12,12
2025-08-14T20:48:32,636342711+00:00,12,12
2025-08-14T20:48:34,033343635+00:00,12,12
2025-08-14T20:48:35,359817243+00:00,12,12
2025-08-14T20:48:36,759772171+00:00,12,12
2025-08-14T20:48:38,132245319+00:00,12,12
2025-08-14T20:48:39,524525671+00:00,12,12
2025-08-14T20:48:40,924274875+00:00,12,12
2025-08-14T20:48:42,270013079+00:00,12,12
2025-08-14T20:48:43,620294175+00:00,12,12
2025-08-14T20:48:44,914259971+00:00,12,12
2025-08-14T20:48:46,255251161+00:00,12,12
2025-08-14T20:48:47,604084022+00:00,12,12
2025-08-14T20:48:48,936014489+00:00,12,12
2025-08-14T20:48:50,285127918+00:00,12,12
2025-08-14T20:48:51,584309832+00:00,12,12
2025-08-14T20:48:52,925032944+00:00,12,12
2025-08-14T20:48:54,258581167+00:00,12,12
2025-08-14T20:48:55,598475351+00:00,12,12
2025-08-14T20:48:56,928867289+00:00,12,12
2025-08-14T20:48:58,310958389+00:00,12,12
2025-08-14T20:48:59,661015484+00:00,12,12
2025-08-14T20:49:00,987352636+00:00,12,12
2025-08-14T20:49:02,348637239+00:00,12,12
2025-08-14T20:49:03,719830435+00:00,12,12
2025-08-14T20:49:05,066965556+00:00,12,12
2025-08-14T20:49:06,413987591+00:00,12,12
2025-08-14T20:49:07,805820064+00:00,12,12
2025-08-14T20:49:09,201194879+00:00,12,12
2025-08-14T20:49:10,656550380+00:00,12,12
2025-08-14T20:49:12,001278756+00:00,13,13
2025-08-14T20:49:13,611339242+00:00,17,17
2025-08-14T20:49:15,064410466+00:00,21,21
2025-08-14T20:49:16,313082935+00:00,21,21
2025-08-14T20:49:17,589496250+00:00,24,24
2025-08-14T20:49:18,848436989+00:00,24,24
2025-08-14T20:49:20,098574532+00:00,24,24
2025-08-14T20:49:21,342959806+00:00,24,24
2025-08-14T20:49:22,619988882+00:00,24,24
2025-08-14T20:49:23,884957421+00:00,24,24
2025-08-14T20:49:25,114116786+00:00,24,24
2025-08-14T20:49:26,350250287+00:00,24,24
2025-08-14T20:49:27,602699883+00:00,24,24
2025-08-14T20:49:28,837887719+00:00,24,24
2025-08-14T20:49:30,093509902+00:00,24,24
2025-08-14T20:49:31,339454477+00:00,24,24
2025-08-14T20:49:32,612050923+00:00,24,24
2025-08-14T20:49:33,860052523+00:00,24,24
2025-08-14T20:49:35,117965524+00:00,24,24
2025-08-14T20:49:36,391775393+00:00,24,24
2025-08-14T20:49:37,636301464+00:00,24,24
2025-08-14T20:49:38,886002279+00:00,24,24
2025-08-14T20:49:40,152294724+00:00,24,24
2025-08-14T20:49:41,390639402+00:00,24,24
2025-08-14T20:49:42,632903726+00:00,24,24
2025-08-14T20:49:43,887101679+00:00,24,24
2025-08-14T20:49:45,133351482+00:00,24,24
2025-08-14T20:49:46,408604687+00:00,24,24
2025-08-14T20:49:47,647919403+00:00,24,24
2025-08-14T20:49:48,915047040+00:00,24,24
2025-08-14T20:49:50,180854682+00:00,24,24
2025-08-14T20:49:51,443556682+00:00,24,24
2025-08-14T20:49:52,704036055+00:00,24,24
2025-08-14T20:49:53,954627393+00:00,24,24
2025-08-14T20:49:55,190780752+00:00,24,24
2025-08-14T20:49:56,446480471+00:00,24,24
2025-08-14T20:49:57,700947327+00:00,24,24
2025-08-14T20:49:58,959309790+00:00,24,24
2025-08-14T20:50:00,197812325+00:00,24,24
2025-08-14T20:50:01,440513255+00:00,24,24
2025-08-14T20:50:02,674727334+00:00,24,24
2025-08-14T20:50:03,888476904+00:00,24,24
2025-08-14T20:50:05,135716141+00:00,24,24
2025-08-14T20:50:06,375667008+00:00,24,24
2025-08-14T20:50:07,640896404+00:00,24,24
2025-08-14T20:50:08,887427798+00:00,24,24
2025-08-14T20:50:10,124945096+00:00,24,24
2025-08-14T20:50:11,368458601+00:00,24,24
2025-08-14T20:50:12,646444300+00:00,24,24
2025-08-14T20:50:13,904215909+00:00,24,24
2025-08-14T20:50:15,160104635+00:00,24,24
2025-08-14T20:50:16,416911968+00:00,24,24
2025-08-14T20:50:17,678359542+00:00,24,24
2025-08-14T20:50:18,938653386+00:00,24,24
2025-08-14T20:50:20,165429212+00:00,24,24
2025-08-14T20:50:21,446478135+00:00,24,24
2025-08-14T20:50:22,687126133+00:00,24,24
2025-08-14T20:50:23,975088728+00:00,24,24
2025-08-14T20:50:25,212117357+00:00,24,24
2025-08-14T20:50:26,451337159+00:00,24,24
2025-08-14T20:50:27,713999236+00:00,24,24
2025-08-14T20:50:28,955570055+00:00,24,24
2025-08-14T20:50:30,196186081+00:00,24,24
2025-08-14T20:50:31,446781360+00:00,24,24
2025-08-14T20:50:32,718500682+00:00,24,24
2025-08-14T20:50:33,959695817+00:00,24,24
2025-08-14T20:50:35,213117151+00:00,24,24
2025-08-14T20:50:36,430225075+00:00,24,24
2025-08-14T20:50:37,695960756+00:00,24,24
2025-08-14T20:50:38,947900991+00:00,24,24
2025-08-14T20:50:40,191313908+00:00,24,24
2025-08-14T20:50:41,443772831+00:00,24,24
2025-08-14T20:50:42,718879213+00:00,24,24
2025-08-14T20:50:43,979914064+00:00,24,24
2025-08-14T20:50:45,230513449+00:00,24,24
2025-08-14T20:50:46,477187424+00:00,24,24
2025-08-14T20:50:47,747026949+00:00,24,24
2025-08-14T20:50:48,971300862+00:00,24,24
2025-08-14T20:50:50,232067364+00:00,24,24
2025-08-14T20:50:51,482366871+00:00,24,24
2025-08-14T20:50:52,724494628+00:00,24,24
2025-08-14T20:50:53,981504275+00:00,24,24
2025-08-14T20:50:55,241534065+00:00,24,24
2025-08-14T20:50:56,487734692+00:00,24,24
2025-08-14T20:50:57,766649663+00:00,24,24
2025-08-14T20:50:59,007161398+00:00,24,24
2025-08-14T20:51:00,248887459+00:00,24,24
2025-08-14T20:51:01,496556475+00:00,24,24
2025-08-14T20:51:02,760699157+00:00,24,24
2025-08-14T20:51:04,022526526+00:00,24,24
2025-08-14T20:51:05,272463389+00:00,24,24
2025-08-14T20:51:06,532006945+00:00,24,24
2025-08-14T20:51:07,767704306+00:00,24,24
2025-08-14T20:51:09,046128503+00:00,24,24
2025-08-14T20:51:10,294727915+00:00,24,24
2025-08-14T20:51:11,561257709+00:00,24,24
2025-08-14T20:51:12,817243100+00:00,24,24
2025-08-14T20:51:14,060269661+00:00,24,24
2025-08-14T20:51:15,308536106+00:00,24,24
2025-08-14T20:51:16,564245356+00:00,24,24
2025-08-14T20:51:17,843043888+00:00,24,24
2025-08-14T20:51:19,101412889+00:00,24,24
2025-08-14T20:51:20,352642308+00:00,24,24
2025-08-14T20:51:21,612370666+00:00,24,24
2025-08-14T20:51:22,860327584+00:00,24,24
2025-08-14T20:51:24,086301520+00:00,24,24
2025-08-14T20:51:25,346788021+00:00,24,24
2025-08-14T20:51:26,569381312+00:00,24,24
2025-08-14T20:51:27,820948846+00:00,24,24
2025-08-14T20:51:29,059865803+00:00,24,24
2025-08-14T20:51:30,297286883+00:00,24,24
2025-08-14T20:51:31,544631902+00:00,24,24
2025-08-14T20:51:32,811625309+00:00,24,24
2025-08-14T20:51:34,051955940+00:00,24,24
2025-08-14T20:51:35,285884164+00:00,24,24
2025-08-14T20:51:36,572596911+00:00,24,24
2025-08-14T20:51:37,850030575+00:00,24,24
2025-08-14T20:51:39,087970069+00:00,24,24
2025-08-14T20:51:40,340867945+00:00,24,24
2025-08-14T20:51:41,575925515+00:00,24,24
2025-08-14T20:51:42,841353010+00:00,24,24
2025-08-14T20:51:44,119526547+00:00,24,24
2025-08-14T20:51:45,378385160+00:00,24,24
2025-08-14T20:51:46,607195545+00:00,24,24
2025-08-14T20:51:47,873326481+00:00,24,24
2025-08-14T20:51:49,121847376+00:00,24,24
2025-08-14T20:51:50,381278694+00:00,24,24
2025-08-14T20:51:51,631745446+00:00,24,24
2025-08-14T20:51:52,905979434+00:00,24,24
2025-08-14T20:51:54,145529368+00:00,24,24
2025-08-14T20:51:55,416866072+00:00,24,24
2025-08-14T20:51:56,663006033+00:00,24,24
2025-08-14T20:51:57,928802975+00:00,24,24
2025-08-14T20:51:59,171106650+00:00,24,24
2025-08-14T20:52:00,416958114+00:00,24,24
2025-08-14T20:52:01,654356507+00:00,24,24
2025-08-14T20:52:02,899753402+00:00,24,24
2025-08-14T20:52:04,143226427+00:00,24,24
2025-08-14T20:52:05,377833013+00:00,24,24
2025-08-14T20:52:06,647759507+00:00,24,24
2025-08-14T20:52:07,900856880+00:00,24,24
2025-08-14T20:52:09,161766181+00:00,24,24
2025-08-14T20:52:10,413878854+00:00,24,24
2025-08-14T20:52:11,645792904+00:00,24,24
2025-08-14T20:52:12,902246653+00:00,24,24
2025-08-14T20:52:14,164490012+00:00,24,24
2025-08-14T20:52:15,396569311+00:00,24,24
2025-08-14T20:52:16,636245501+00:00,24,24
2025-08-14T20:52:17,854947090+00:00,24,24
